# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
1.42361397e-05    	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6715589038e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
1.42361397e-05    	k                 	1.0000000000e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0457118400e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
1.42361397e-05    	omega             	1.8671491467e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368395e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
1.42361397e-05    	p                 	-5.8822648805e+01	(7.0030748335e-02 6.1936534069e-02 -1.2163279312e-01)	3	9.1376887984e+01	(6.5950672250e-02 4.9688488237e-02 -1.2207829452e-01)	3
3.021280672e-05   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6722746553e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
3.021280672e-05   	k                 	1.0000000000e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0454223475e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
3.021280672e-05   	omega             	1.8671492543e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368380e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
3.021280672e-05   	p                 	-3.2406079225e+01	(-6.7971454953e-02 5.1633871159e-02 -1.0803401467e-01)	2	3.9763557608e+01	(1.7537244937e-01 4.0388112420e-02 1.8312121229e-01)	2
4.760630613e-05   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6729993476e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
4.760630613e-05   	k                 	1.0000000000e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0450869681e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
4.760630613e-05   	omega             	1.8671493715e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368368e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
4.760630613e-05   	p                 	-1.9762119755e+01	(-1.7669613379e-01 3.9996774196e-02 5.9005914866e-02)	2	2.5103762897e+01	(6.7961913815e-02 8.3871462303e-02 -8.3648877016e-02)	3
6.498408032e-05   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6736806341e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
6.498408032e-05   	k                 	1.0000000000e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0447199456e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
6.498408032e-05   	omega             	1.8671494887e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368374e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
6.498408032e-05   	p                 	-1.7128876453e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	2.0872315036e+01	(6.7961913815e-02 8.3871462303e-02 -8.3648877016e-02)	3
8.235100186e-05   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6743329521e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
8.235100186e-05   	k                 	1.0000000000e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0443184071e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
8.235100186e-05   	omega             	1.8671496058e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368387e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
8.235100186e-05   	p                 	-1.7363888953e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.8077977520e+01	(6.7961913815e-02 8.3871462303e-02 -8.3648877016e-02)	3
9.971116817e-05   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6749352060e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
9.971116817e-05   	k                 	1.0001696202e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0438842495e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
9.971116817e-05   	omega             	1.8671497229e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368400e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
9.971116817e-05   	p                 	-1.7488985234e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7736084435e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0001170668082   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6754786098e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0001170668082   	k                 	1.0007499305e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0434209528e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0001170668082   	omega             	1.8671498400e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368411e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0001170668082   	p                 	-1.7524963554e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7699913928e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.000134418889    	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6759668364e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.000134418889    	k                 	1.0017865217e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0429317310e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.000134418889    	omega             	1.8671499570e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368418e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.000134418889    	p                 	-1.7544392903e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7671558578e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0001517676584   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6764042015e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0001517676584   	k                 	1.0032633084e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0424191968e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0001517676584   	omega             	1.8671500740e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368424e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0001517676584   	p                 	-1.7571440662e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7649308235e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0001691130021   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6767958368e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0001691130021   	k                 	1.0051432533e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0418854855e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0001691130021   	omega             	1.8671501910e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368430e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0001691130021   	p                 	-1.7605287545e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7632496902e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0001864546559   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6771467370e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0001864546559   	k                 	1.0073665742e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0413322870e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0001864546559   	omega             	1.8671503080e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368435e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0001864546559   	p                 	-1.7640733152e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7617156559e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.000203792362    	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6774617839e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.000203792362    	k                 	1.0098724052e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0407612277e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.000203792362    	omega             	1.8671504249e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368441e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.000203792362    	p                 	-1.7675151913e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7602782098e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
