# Region type :   patch ambient_openings
# Faces           : 8098
# Area            : 2.0799987579e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000112          	-1.8976027269e-12
0.0001264         	-8.3453667533e-13
0.00014368        	-1.6567772490e-12
0.000164416       	-4.8627711857e-12
0.0001892992      	-5.7200334280e-12
0.0002142992      	-9.6476999769e-12
0.0002392992      	-8.2465180217e-12
0.0002642992      	-7.7992197183e-12
0.0002892992      	-7.3382586862e-12
0.0003142992      	-6.3483684048e-12
0.0003392992      	-6.5441349136e-12
0.0003642992      	-6.4745177022e-12
0.0003892992      	-5.8463153406e-12
0.0004142992      	-9.7610076886e-12
0.0004392992      	-1.0271146046e-11
0.0004642992      	-5.4856308719e-12
0.0004892992      	-9.6211829986e-12
0.0005142992      	-1.0064880651e-11
0.0005392992      	-5.5819511268e-12
0.0005642992      	-8.7532069623e-12
0.0005892992      	-6.2161776099e-12
0.0006142992      	-8.3715826383e-12
0.0006392992      	-6.5023928257e-12
0.0006642992      	-6.5360834126e-12
0.0006892992      	-1.1407261909e-11
0.0007142992      	-6.1302259915e-12
0.0007392992      	-1.0298780250e-11
0.0007642992      	-6.4389019853e-12
0.0007892992      	-9.0812761199e-12
0.0008142992      	-7.6274274195e-12
0.0008392992      	-6.9745602816e-12
0.0008642992      	-9.0069119994e-12
0.0008892992      	-4.8740513959e-12
0.0009142992      	-6.0069203118e-12
0.0009392992      	-5.1230687352e-12
0.0009642992      	-6.4798630068e-12
0.0009892992      	-4.2618801564e-12
0.0010142992      	-4.5482100670e-12
0.0010392992      	-5.1491135430e-12
0.0010642992      	-5.0679221944e-12
0.0010892992      	-3.9998571978e-12
0.0011142992      	-3.3488595475e-12
0.0011392992      	-4.9707350396e-12
0.0011642992      	-4.7793776067e-12
0.0011892992      	-2.7038812112e-12
0.0012142992      	-1.3295858465e-12
0.0012392992      	-3.1534983291e-12
0.0012642992      	-2.1905399890e-12
0.0012892992      	-1.5155892057e-12
0.0013142992      	8.3009561535e-13
0.0013392992      	-3.4447171114e-13
0.0013642992      	-4.9805248513e-13
0.0013892992      	8.5589184801e-13
0.0014142992      	3.9537757918e-13
0.0014392992      	4.1807942314e-13
0.0014642992      	1.7256637122e-13
0.0014892992      	5.1098248973e-12
0.0015142992      	7.4579634318e-12
0.0015392992      	6.1428791289e-12
0.0015642992      	2.5579154007e-12
0.0015892992      	3.5876973356e-12
0.0016142992      	1.3429047939e-12
0.0016392992      	4.7190167570e-12
0.0016642992      	5.7591243494e-12
0.0016892992      	6.3492020212e-12
0.0017142992      	3.7154792017e-12
0.0017392992      	4.3339813227e-12
0.0017642992      	3.4219553785e-12
0.0017892992      	2.4739183292e-12
0.0018142992      	2.2176914807e-12
0.0018392992      	2.6783427560e-12
0.0018642992      	2.1603843959e-12
0.0018892992      	2.7541110541e-12
0.0019142992      	2.3011916359e-12
0.0019392992      	1.6401723657e-12
0.0019642992      	1.9355237587e-12
0.0019892992      	2.7142363746e-12
0.0020142992      	3.1690890492e-12
0.0020392992      	2.0294184697e-12
0.0020642992      	2.3994105803e-12
0.0020892992      	2.4660219659e-12
0.0021142992      	3.1722783933e-12
0.0021392992      	3.7769467774e-12
0.0021642992      	4.0427363300e-12
0.0021892992      	4.1463772384e-12
0.0022142992      	3.7754121536e-12
0.0022392992      	3.5216991746e-12
0.0022642992      	4.0374276664e-12
0.0022892992      	3.7158016235e-12
0.0023142992      	4.5665549686e-12
0.0023392992      	4.2366379629e-12
0.0023642992      	4.6324970953e-12
0.0023892992      	4.1637452659e-12
0.0024142992      	5.1018018560e-12
0.0024392992      	4.7720807302e-12
0.0024642992      	5.7617702401e-12
0.0024892992      	7.2054454749e-12
0.0025142992      	6.6191287727e-12
0.0025392992      	5.3073696124e-12
0.0025642992      	5.6711324805e-12
0.0025892992      	5.6551439853e-12
0.0026142992      	7.1533580097e-12
0.0026392992      	5.6433181503e-12
0.0026642992      	4.9127293625e-12
0.0026892992      	5.3942795728e-12
0.0027142992      	5.4402944670e-12
0.0027392992      	7.2250502363e-12
0.0027642992      	4.6690572532e-12
0.0027892992      	5.9304230490e-12
0.0028142992      	4.5121857662e-12
0.0028392992      	6.9161502159e-12
0.0028642992      	4.7573737687e-12
0.0028892992      	7.3342038193e-12
0.0029142992      	6.3084083849e-12
0.0029392992      	8.7885837117e-12
0.0029642992      	5.1773745809e-12
0.0029892992      	7.2679980077e-12
0.0030142992      	4.9850393862e-12
0.0030392992      	7.1891728527e-12
0.0030642992      	4.0898610017e-12
0.0030892992      	6.4185024172e-12
0.0031142992      	4.2428872453e-12
0.0031392992      	5.4057584721e-12
0.0031642992      	4.0931148102e-12
0.0031892992      	5.5344438473e-12
0.0032142992      	4.4883927126e-12
0.0032392992      	5.5565782307e-12
0.0032642992      	4.9183699876e-12
0.0032892992      	5.5714253931e-12
0.0033142992      	5.0918293178e-12
0.0033392992      	5.0538128592e-12
0.0033642992      	4.8225850015e-12
0.0033892992      	5.4789053333e-12
0.0034142992      	5.2640955809e-12
0.0034392992      	6.0476421630e-12
0.0034642992      	5.4231534020e-12
0.0034892992      	5.2155329548e-12
0.0035142992      	5.5492915764e-12
0.0035392992      	5.6068797473e-12
0.0035642992      	6.2712425665e-12
0.0035892992      	6.3986321055e-12
0.0036142992      	6.4587886564e-12
0.0036392992      	6.2863342334e-12
0.0036642992      	6.3966018801e-12
0.0036892992      	5.8859495890e-12
0.0037142992      	5.5285545765e-12
0.0037392992      	5.6333372284e-12
0.0037642992      	6.0882301154e-12
0.0037892992      	5.1646592547e-12
0.0038142992      	5.2219933585e-12
0.0038392992      	4.4809056535e-12
0.0038642992      	4.7717009046e-12
0.0038892992      	4.1310769236e-12
0.0039142992      	4.3588776383e-12
0.0039392992      	4.4745747812e-12
0.0039642992      	4.4946700213e-12
0.0039892992      	4.9110253734e-12
0.0040142992      	4.9519658084e-12
0.0040392992      	5.2786581737e-12
0.0040642992      	4.9643860160e-12
0.0040892992      	4.2559103943e-12
0.0041142992      	4.0088292348e-12
0.0041392992      	3.6945143159e-12
0.0041642992      	4.8729502463e-12
0.0041892992      	5.0318148840e-12
0.0042142992      	5.6766277944e-12
0.0042392992      	4.6116346681e-12
0.0042642992      	4.5637453993e-12
0.0042892992      	4.6099743468e-12
0.0043142992      	4.6365250756e-12
0.0043392992      	4.3854636732e-12
0.0043642992      	4.4768236783e-12
0.0043892992      	4.1139229868e-12
0.0044142992      	4.4854582529e-12
0.0044392992      	4.4983628101e-12
0.0044642992      	4.4577753896e-12
0.0044892992      	4.2038156170e-12
0.0045142992      	4.6189586575e-12
0.0045392992      	4.2939305625e-12
0.0045642992      	4.2165090287e-12
0.0045892992      	4.1604259956e-12
0.0046142992      	4.8314091578e-12
0.0046392992      	4.4929338871e-12
0.0046642992      	4.8622088178e-12
0.0046892992      	4.9513099411e-12
0.0047142992      	5.7390036195e-12
0.0047392992      	5.1113350164e-12
0.0047642992      	6.3367701174e-12
0.0047892992      	6.9280117548e-12
0.0048142992      	6.9420195436e-12
0.0048392992      	7.0461659663e-12
0.0048642992      	6.7152923677e-12
0.0048892992      	6.8242211236e-12
0.0049142992      	7.4473134081e-12
0.0049392992      	7.9483186174e-12
0.0049642992      	7.9215844458e-12
0.0049892992      	7.9410393806e-12
